word,	wordFreq
the,	50033323
and,	24778098
of,	23159162
a,	21166065
to,	16257508
in,	15670692
i,	14217601
you,	12053228
it,	11042044
is,	10093608
to,	9232572
that,	8319510
for,	8194970
was,	6848519
he,	6467470
with,	6442861
's,	6303682
on,	6080156
this,	5541355
n't,	5285354
we,	5180711
be,	5046995
have,	5023456
that,	5002961
are,	4983145
not,	4655980
but,	4523086
they,	4503650
do,	4501047
at,	4024075
what,	3807502
his,	3718978
from,	3711425
or,	3420339
by,	3372222
she,	3188077
my,	3106939
an,	3059411
as,	2946119
had,	2723573
if,	2709806
me,	2638743
your,	2577505
can,	2515641
all,	2503556
who,	2493429
has,	2443889
about,	2427703
their,	2417058
were,	2378665
so,	2369749
would,	2349400
just,	2270900
will,	2154429
know,	2110629
up,	2108756
said,	2039196
there,	1980173
're,	1957882
her,	1931186
did,	1889734
as,	1880190
been,	1874157
out,	1828593
one,	1816593
people,	1782910
get,	1743855
him,	1717209
'm,	1716283
them,	1691297
some,	1684262
time,	1669431
how,	1666469
when,	1650353
which,	1613281
now,	1601991
like,	1583444
could,	1529795
think,	1483944
our,	1467955
into,	1461573
here,	1413594
then,	1344434
than,	1342798
other,	1278825
see,	1255990
more,	1248955
go,	1235814
these,	1223310
going,	1218389
no,	1206112
well,	1189096
because,	1167024
also,	1142799
two,	1139230
good,	1111721
first,	1101803
way,	1099245
want,	1081592
got,	1059927
more,	1037966
years,	1032285
make,	1023483
've,	1015706
new,	1000338
one,	999445
'll,	992384
us,	992207
any,	981535
does,	964997
those,	964458
very,	963552
her,	959780
say,	955726
back,	938649
there,	932354
should,	920908
even,	920346
come,	912036
only,	905093
many,	903830
really,	895900
take,	858510
says,	837850
why,	832911
right,	830729
down,	820294
on,	818737
'd,	784592
something,	774329
too,	771375
may,	757742
still,	757548
through,	752325
let,	747708
after,	745154
never,	744608
no,	743203
man,	741815
in,	726590
life,	719311
day,	715593
world,	714815
being,	711507
made,	706697
yeah,	703928
year,	697677
last,	692989
oh,	685234
over,	679617
when,	669530
as,	662376
need,	640460
much,	636642
out,	634959
look,	631460
things,	630338
where,	597351
same,	592440
all,	591610
own,	579171
while,	579023
ca,	575405
thing,	571666
three,	569831
every,	567232
another,	565094
most,	561354
between,	558517
great,	551990
over,	538724
yes,	537066
again,	530706
tell,	529417
school,	526204
so,	523231
might,	521992
president,	519368
like,	516981
state,	514086
its,	511922
find,	511861
where,	500755
put,	499855
house,	493925
always,	492940
off,	479457
few,	472804
mean,	471179
big,	470295
such,	468655
against,	467705
about,	462995
give,	462452
doing,	461455
work,	456169
am,	448411
women,	442808
found,	442025
children,	441998
family,	439984
used,	438637
without,	438567
money,	436987
lot,	436374
most,	435849
next,	433864
part,	432718
na,	431893
today,	430978
must,	427796
told,	427203
old,	424754
during,	423624
night,	422103
place,	420367
each,	414659
different,	413560
help,	412389
american,	410698
little,	403861
before,	402959
came,	402931
ever,	402590
keep,	399487
government,	396071
thought,	390032
anything,	384431
nothing,	383492
students,	383212
high,	382871
feel,	382789
sure,	382742
country,	377285
went,	376951
point,	376038
believe,	374664
maybe,	374325
city,	374113
under,	373903
right,	373875
use,	372427
called,	365320
since,	363805
percent,	357395
work,	356692
done,	356317
away,	355515
gon,	354396
actually,	353857
days,	353299
though,	352608
times,	349294
men,	348491
real,	348112
best,	347992
took,	347229
fact,	345343
number,	341148
okay,	339646
both,	338454
yet,	338408
system,	334678
after,	334050
case,	332608
important,	331610
hey,	330236
much,	329230
someone,	328933
getting,	327522
trying,	327461
week,	326468
however,	326015
only,	325875
around,	324064
business,	323875
everything,	323679
water,	322723
room,	322540
national,	321960
thank,	320733
wanted,	319671
story,	319427
around,	318942
having,	318547
until,	318392
group,	318338
